<http://vivo.ufl.edu/ontology/vivo-ufl/Housestaff>,3369
<http://vivoweb.org/ontology/core#EditorialArticle>,2899
<http://vivoweb.org/ontology/core#NonFacultyAcademicPosition>,2752
<http://vivoweb.org/ontology/core#MemberRole>,2410
<http://purl.org/ontology/bibo/Book>,2368
<http://purl.obolibrary.org/obo/ERO_0000012>,2127
<http://vivoweb.org/ontology/core#Publisher>,2050
<http://vivo.ufl.edu/ontology/vivo-ufl/TemporaryFaculty>,2008
<http://xmlns.com/foaf/0.1/Group>,1998
<http://vivoweb.org/ontology/core#InvitedTalk>,1826
<http://vivoweb.org/ontology/core#Non-FacultyAcademicPosition>,1816
<http://vivoweb.org/ontology/core#Committee>,1762
<http://vivoweb.org/ontology/core#Location>,1737
<http://vivoweb.org/ontology/core#GeographicLocation>,1737
<http://purl.obolibrary.org/obo/BFO_0000141>,1737
<http://purl.obolibrary.org/obo/BFO_0000006>,1737
None,1726
<http://vivoweb.org/ontology/core#PostdocPosition>,1707
<http://vivo.ufl.edu/ontology/vivo-ufl/ClinicalFacultyPosition>,1554
<http://vivoweb.org/ontology/core#ConferencePaper>,1450
<http://vivoweb.org/ontology/core#NonFacultyAcademic>,1418
<http://vivoweb.org/ontology/core#Postdoc>,1385
<http://vivoweb.org/ontology/core#Association>,1362
<http://vivo.ufl.edu/ontology/vivo-ufl/PostDocPosition>,1279
<http://vivoweb.org/ontology/core#University>,1242
<http://vivoweb.org/ontology/core#Department>,1135
<http://vivoweb.org/ontology/core#FacultyAdministrativePosition>,1106
<http://www.w3.org/2006/vcard/ns#Organization>,1050
<http://vivoweb.org/ontology/core#EmeritusFaculty>,1045
<http://purl.org/ontology/bibo/DocumentPart>,1037
<http://www.w3.org/2006/vcard/ns#Fax>,1032
<http://vivoweb.org/ontology/core#EmeritusProfessor>,1007
<http://www.w3.org/2002/07/owl#Class>,975
<http://vivoweb.org/ontology/core#Facility>,959
<http://purl.obolibrary.org/obo/BFO_0000029>,959
<http://www.w3.org/2006/vcard/ns#Location>,953
<http://vivoweb.org/ontology/core#Building>,953
<http://vivoweb.org/ontology/core#Award>,919
<http://vivoweb.org/ontology/core#GovernmentAgency>,883
<http://purl.org/ontology/bibo/Chapter>,813
<http://purl.org/ontology/bibo/BookSection>,809
<http://vivoweb.org/ontology/core#GeographicRegion>,745
<http://purl.org/ontology/bibo/Report>,720
<http://vivoweb.org/ontology/core#ConferencePoster>,710
<http://vivoweb.org/ontology/core#GeopoliticalEntity>,708
<http://vivoweb.org/ontology/core#Center>,702
<http://purl.org/ontology/bibo/Letter>,671
<http://www.w3.org/2002/07/owl#DatatypeProperty>,668
<http://purl.org/ontology/bibo/PersonalCommunicationDocument>,668
<http://vivoweb.org/ontology/core#Foundation>,651
<http://www.w3.org/2002/07/owl#Restriction>,631
<http://vivoweb.org/ontology/core#AcademicDepartment>,565
<http://vivoweb.org/ontology/core#Institute>,489
<http://vivoweb.org/ontology/core#Editorship>,460
<http://vivoweb.org/ontology/core#CaseStudy>,443
<http://vivoweb.org/ontology/core#AdvisingRelationship>,434
<http://aims.fao.org/aos/geopolitical.owl#self_governing>,419
<http://vivoweb.org/ontology/core#Speech>,418
<http://www.w3.org/2002/07/owl#ObjectProperty>,413
<http://vivoweb.org/ontology/core#EditorRole>,403
<http://vivoweb.org/ontology/core#AdviseeRole>,398
<http://vivoweb.org/ontology/core#AdvisorRole>,390
<http://vivoweb.org/ontology/core#Program>,386
<http://vivoweb.org/ontology/core#Hospital>,357
<http://vivoweb.org/ontology/core#College>,350
<http://vivoweb.org/ontology/core#ClinicalOrganization>,344
<http://vivoweb.org/ontology/core#PopulatedPlace>,334
<http://vivoweb.org/ontology/core#AcademicDegree>,322
<http://aims.fao.org/aos/geopolitical.owl#area>,317
<http://vivoweb.org/ontology/core#School>,312
<http://purl.org/ontology/bibo/Review>,309
<http://vivoweb.org/ontology/core#ResearchOrganization>,304
<http://vivoweb.org/ontology/core#GraduateAdvisingRelationship>,290
<http://vivo.ufl.edu/ontology/vivo-ufl/ClinicalFaculty>,290
<http://vivoweb.org/ontology/core#ReviewerRole>,283
<http://aims.fao.org/aos/geopolitical.owl#territory>,246
<http://vivo.ufl.edu/ontology/vivo-ufl/GraduateAdvisoryCommittee>,238
<http://vivoweb.org/ontology/core#PrimaryURLLink>,219
<http://vivoweb.org/ontology/core#Laboratory>,218
